country,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,x1985,x1986,x1987,x1988,x1989,x1990,x1991,x1992,x1993,x1994,x1995,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011
Italy,9377,10114,10163,11229,12509,13062,13778,15462,15279,17000,17880.5,19233.8,19401.6,20056,20327.1,21409.4,22092.9,22482.6,23764.5,24759.4,24663.2,25804.9,26561.3,26853.7,26769.7,26347.6,26503.4,7967.231041,11281.80102,14192.94463,15698.44334,16338.56126,20764.65293,21892.07928,23175.24506,18683.7589,19280.86697,20603.89332,23028.50611,21787.70178,22260.81222,21945.50687,20059.21077,20409.00354,22205.84193,27399.10512,31188.62272,31973.93474,33426.16606,37716.44913,40659.67042,36995.10735,35877.87149,38364.94175
Jamaica,,57,89,76,62,56,57,46,53,62,70,57,58.3,46.8,50,36.1,57.4,54.8,47.2,51.1,51.9,39.8,49.4,41.4,50.8,46.6,50.7,908.7616384,1179.274633,1398.369449,1624.657452,1854.788843,1921.426029,1706.622724,1459.095412,2003.755553,2007.369311,2344.141928,2600.598787,2948.827462,3419.204389,3430.426424,3479.056152,3494.26991,3716.271243,3592.888342,3862.063372,4251.496664,4495.843537,4805.878717,5130.227409,4521.923804,4917.023202,5346.219339
Jordan,,119,142,161,174,176,148,135,130,144,154.1,163.1,200.5,220.4,230.3,246.6,232.5,242.2,250.7,281,274.8,285.4,344.1,411.9,382.6,378,341.8,1888.620586,2333.091075,2374.004732,2129.352647,1381.256974,1312.280348,1225.51966,1422.766792,1435.288785,1535.988732,1603.682153,1601.932772,1630.153682,1733.264934,1740.917598,1763.169472,1824.886121,1901.580361,1973.86206,2156.439836,2326.495159,2719.822427,3022.542887,3797.592624,4026.76635,4370.721045,4665.954276
Japan,29618,31957,30920,34435,36569,38570,39590,44143,43339,46692,47067.9,50345,51462.4,53838.3,55273.8,57101.2,56081.7,56346.5,57231.2,56538.4,55527.3,54469.4,52910.6,51842,49631.9,47043.1,47105.7,11465.72578,16882.27395,20355.60522,24592.77201,24505.7673,25123.63178,28540.77148,31013.64715,35451.29751,38814.89438,42522.06659,37422.86414,34304.14897,30969.73803,35004.06127,37299.64413,32716.41867,31235.58818,33690.93773,36441.50449,35781.17005,34075.97895,34033.70125,37865.61803,39322.60473,42909.23415,46203.70952
Kazakhstan,,0,0,,,,,19,250,191,157.6,141.4,115.3,128.5,104.6,112.8,113.6,122.6,119,104.7,96,86,105.5,76.7,98.7,83.3,87.4,,,,,,1647.463231,1512.485066,1515.104059,1433.461534,1320.321622,1288.239052,1350.333866,1445.569414,1468.701798,1130.113592,1229.000958,1490.926751,1658.031146,2068.123657,2874.288291,3771.278957,5291.57565,6771.414797,8513.564645,7165.27705,9070.649972,11357.94549
Kenya,251,238,232,291,300,255,260,295,346,280,287,274.2,271.9,265.4,242.6,231.7,228.5,241.6,239.4,224.7,225.8,236.5,262.2,285.4,290.5,275.8,289.5,312.0456802,354.9692693,377.0428946,381.5415934,365.4056053,365.6172894,336.3641884,327.9748244,222.7240548,268.6455753,330.4831218,428.4338764,454.7417768,476.7185137,425.5935921,408.9818683,407.5540066,402.1703155,444.2336311,467.3787525,530.0821579,711.7211637,857.9256887,938.5717623,942.7431465,991.8505451,1012.879773
Kyrgyz Republic,,0,0,0,0,0,0,0,26,30,13.2,12.3,14.4,17.6,13.9,18.4,17.6,20.3,11.4,11.7,15,17.9,16.1,16.5,15.4,16.5,17.2,,,,,,608.9451631,575.9551334,513.0359215,449.0657902,372.30781,364.2264974,394.8601215,376.4296133,345.1381316,258.04934,279.620275,308.4090314,321.726538,380.5073624,433.2351189,476.5518917,543.1107024,721.7686908,966.3936272,871.2243893,880.0377751,1123.883168
Cambodia,,0,0,0,0,1,0,1,1,1,3.7,2.5,4.3,3.7,7.2,5.5,7.2,10.5,12.7,18.5,21,26.1,25.5,23.4,26.9,22.4,32.5,,,,,,,,,253.1931946,269.5670708,321.7746334,318.1495357,303.6858996,268.0430434,294.865212,299.5622376,319.6924597,337.8042535,361.0703476,407.0849062,472.4488559,537.8424797,629.2828776,742.9429233,735.4075239,782.6927899,879.1512441
Kiribati,,0,1,0,0,0,1,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,332.6997962,313.9983968,355.6914807,446.3164694,417.1253511,392.3970541,648.5565477,665.0033427,641.9968714,732.9766097,741.1916122,860.0811268,862.3574229,822.7153617,850.8735676,799.8566112,734.9492461,827.3020845,1014.135333,1128.951514,1149.688033,1110.482703,1277.178794,1371.912089,1264.108774,1465.559032,1645.872214
St. Kitts and Nevis,,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1.5,1.5,0,0.1,0,0,0,1.8,0.3,0,1.7,1.1,0.4,1856.391428,2257.911756,2616.138691,3086.043719,3506.615184,3898.816339,4013.129838,4395.927281,4740.919486,5234.302028,5380.076867,5659.135563,6268.426776,6472.581513,6787.322917,9223.749043,9963.389168,10244.49928,9719.151667,10349.22518,11053.74474,12767.89514,13556.89495,14378.88426,13707.12331,13226.95231,13737.32272
"Korea, Rep.",424,516,672,771,1035,1170,1361,1759,2184,2931,3803.2,4770.9,5802.2,7056.6,8478.2,9571.8,11007.7,11734.5,13402.9,15255.6,16395.8,17909.9,18470.1,21090.8,22280.3,24106.4,25592.7,2542.04198,2906.168843,3627.601544,4813.284872,5860.40382,6642.451218,7675.693138,8140.218706,8869.020761,10275.27753,12403.91322,13254.6374,12196.76978,8133.731245,10432.2108,11947.57725,11255.94789,12788.58018,14219.19359,15921.9392,18657.52186,20917.02989,23101.51118,20474.88747,18338.70637,22151.20912,24155.8293
Kosovo,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1087.762401,1490.361033,1587.505829,1969.562713,2135.332847,2190.497596,2371.662079,2788.479464,3254.860674,3209.694109,3283.211938,3738.781369
Kuwait,,226,259,304,326,368,209,104,112,186,189.3,208.9,224,234.8,295.9,238.3,244.7,227.8,230.5,244.3,234.1,256.5,242,239.7,214.4,191.6,202.1,12358.5106,9820.085523,11662.81881,10331.4973,11834.7681,8950.598406,5485.47681,,,,16610.36846,19227.56057,17998.71008,14690.00979,16253.86851,19548.3793,17532.85837,18675.21367,22841.60172,27438.16863,35694.38171,42502.22152,45157.12334,54478.55067,36756.80798,37724.27379,47553.66926
Lao PDR,,0,0,0,0,0,1,1,1,0,1.8,0.9,2.4,5.5,3.8,3.9,4.5,4.7,8.6,12.1,9.2,18,12.3,12.2,12.2,17.2,21.4,643.090589,469.414551,279.1411176,149.3996513,173.0210927,203.764751,235.1770385,250.7925708,287.2867049,325.4709899,363.0338297,377.2769222,344.669513,247.8528561,276.707261,324.0196947,326.0306989,319.5325358,362.6677396,418.1732543,476.1624057,591.3647744,710.9803373,900.4995548,947.955524,1147.095388,1300.979602
Lebanon,,94,66,54,61,29,47,52,54,62,54.7,62.6,103.2,102.6,124.3,143.7,195,158.8,210.7,198.3,233.7,250.3,238.1,279.8,256.2,264.8,250.7,,,,1241.680533,1015.461212,1050.116702,1617.271936,1965.337082,2597.593375,3226.980273,3863.246579,4457.939768,5093.267689,5538.664428,5509.320271,5334.880244,5253.097584,5436.587507,5425.66907,5424.217944,5339.42388,5372.475056,6015.802129,7015.605178,8403.109316,8763.795964,9132.434202
Liberia,,5,4,4,3,6,7,5,1,1,0.3,1,0.3,1.3,0,1,1,1.3,0,1.1,1.3,2.3,0,1.4,0,1.8,4.4,387.403217,381.0670965,442.9461015,478.3853492,367.9426191,182.7971869,168.436541,110.1705944,79.94621075,65.47315997,64.81015385,72.52703953,125.100939,140.5739059,161.1376724,182.9427731,171.7371969,174.5547566,130.9126653,146.6413297,165.7601803,178.4531481,209.8115997,231.4432108,302.2760595,326.604433,378.8140624
Libya,,43,43,43,41,36,40,33,25,31,33.9,20,16.2,20.6,17.8,15.8,21.4,19.5,24.9,17.1,19.7,26.2,30.4,37.3,33.6,33.3,17.9,,,,,,6571.656342,7110.744547,7371.860168,6534.629837,5978.606521,5235.818276,5610.145235,6064.782203,5287.695465,6858.53602,7170.519228,6284.159053,3711.602774,4682.625724,5807.646288,8158.984214,9304.308502,11219.43296,14231.60089,10151.64587,11933.77926,5517.779569
St. Lucia,,0,0,0,0,0,4,1,5,2,0,2.8,1,2.7,0.5,0,0.9,0.2,0,0,0.5,0.5,0.3,0.3,0,0.1,0.4,1496.382288,1755.386206,1849.816693,2051.776151,2291.297833,2874.457849,3078.43494,3367.736327,3426.581014,3562.987275,3814.003681,3802.113025,4002.881574,4295.725902,4465.686452,4975.472011,4656.508655,4630.977942,4981.465252,5415.584544,5655.523782,6320.42065,6720.563516,6781.556765,6715.951362,7014.196449,7192.917435
Liechtenstein,,6,5,7,7,6,8,8,7,13,12.8,8.9,11.7,5.3,16.6,11.1,6.2,6.8,11.7,12.5,12,13.2,14.4,16.5,13,9.8,9.7,19409.13505,28316.60595,37873.63678,41356.93535,39429.10759,49452.3875,50982.81212,55288.50106,55916.7681,64157.05288,78763.81512,79931.46466,72181.10027,76635.61442,81116.39927,74631.65055,74021.93978,79088.62729,89553.90607,99926.93656,104995.9855,113830.0286,129870.1857,142254.6916,125107.6711,140101.9673,157092.9694
Sri Lanka,,52,94,107,101,106,84,82,83,85,85.4,71,62.2,83.5,86.9,97.8,73.2,102.6,141.5,119.1,135.8,125.7,125.5,133.6,134.9,131.2,130.3,377.3804426,397.1730988,408.1211213,420.409156,415.2907984,472.0864633,521.2464575,556.8123285,585.8936663,654.9440618,718.4438443,757.9482098,812.7924836,840.8737674,821.5964534,854.9267252,837.6988035,903.8964049,984.8101725,1063.160584,1242.428436,1424.101241,1614.363924,2010.95655,2057.028067,2399.920469,2835.812873
Lesotho,,7,5,7,4,3,5,4,7,5,2.5,1,2.3,1.3,2.6,6,2.4,2.4,2.6,2.8,0.8,5.7,3,4.8,3.5,4.8,5.7,168.7345479,194.3619927,242.9555189,278.2205457,287.5551419,340.8898691,373.9610731,433.9703345,426.1151116,437.6750561,489.8373657,458.6029246,477.2222978,449.8274486,435.7061756,415.5001187,377.4535887,348.3198669,510.4162979,645.4959592,710.5178168,736.3911944,816.8495857,826.8315402,859.8570173,1087.950195,1241.228997
Lithuania,,0,0,,,,,5,149,189,178.9,188.6,215.8,257.1,273.9,262,283.3,334.5,307.9,404.3,406.1,515.2,457.5,515,387.6,356.3,457.4,,,,,,,,,,,,,,,,,,,,6706.834687,7863.527827,9240.297059,12298.20555,14961.72397,11837.11668,11976.90114,14360.42479
